Team;Year;Category;Picture Front;Picture Back (if different);Difference to previous;Kevin;Special Edition ?;URL Front;URL Back
Grote-Leeuw-Delta;1934;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Delta34.jpg;
SPAR;1960;;;;;-;Tour;https://lakarra.net/wp-content/uploads/2019/12/musette-1960-spar-tdf-tour.jpg;
Anquetil;1965;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1965-anquetil.jpg;
Legnano;1965;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1965-legnano-biciclettes.jpg;
SALVARANI;1967;;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1967-salvarani.jpg;
Peugeot;1972;;;;Peugeot on top;-;;https://lakarra.net/wp-content/uploads/2020/05/musette-1972-peugeot.jpeg;
BIC;1974;;;;x;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1974-bic.jpeg;
Kas-Campagnolo;1976;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Kas-Campagnolo.jpg;
Sanson;1976;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Sanson76.jpg;
Lejeune-BP;1976;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1976-lejeune-bp.jpg;
Ebo-Superia;1977;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ebo-Superia77.jpg;
Kas-Campagnolo;1977;Profesional;;;Longer C at campagnolo;-;;http://www.zonadeavituallamiento.es/images/Kas-Campagnolo(2).jpg;
SCIC Cucine componibili;1977;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1977-scic-cucine-componibili.jpg;
Old Lord's-Splendor-KSB;1978;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Old-Splendor78.jpg;
D'alessandro Tubolari Kas;1978;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1978-d-alessandro-tubolari-kas.jpg;
Alisian;1979;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Alisian.jpg;
Mini-Flat-VDB-Pirelli;1979;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Mini-Flat79.jpg;
Novostil-Helios;1979;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Novostil-Helios79.jpg;
Ti-Raleigh-McGregor;1979;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Raleigh-McGregor.jpg;
Splendor-Euro Soap;1979;Profesional ;;;x;-;;http://www.zonadeavituallamiento.es/images/Splendor-EuroSoap.jpg;
La Redoute-Motobecane;1979;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1979-la-redoute-motobecane.jpg;
Ijsboerke-Koga Miyata-Warncke Eis;1980;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ijsboerke80(a).jpg;http://www.zonadeavituallamiento.es/images/Ijsboerke80(b).jpg
Safir-Ludo;1980;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ludo.jpg;
Ti-Raleigh-Creda;1980;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ti-Raleigh80.jpg;
Aguas de mesa;1980;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1980-aguas-de-mesa-lanjaron.jpg;
VERMEER THIJS GIOS;1980;;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1980-vermeer-thijs-gios.jpg;
Gis Gelati-Campagnolo;1981;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Gis.jpg;
