Team;Year;Category;Picture Front;Picture Back (if different);Difference to previous;Kevin;Special Edition ?;URL Front;URL Back
Kotter's Racing Team;1981;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Kotters81(a).jpg;http://www.zonadeavituallamiento.es/images/Kotters81(b).jpg
Puch-Wolber-Campagnolo;1981;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Puch-Wolber.jpg;
Splendor-Wickes Bouwmarkt-Europ Decor;1981;Profesional ;;;x;-;;http://www.zonadeavituallamiento.es/images/Splendor-Wickes81.jpg;
Boston Mavic;1981;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1981-boston-mavic.jpg;
Tour de France;1981;Race;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1981-tour-de-france-tdf-riz-yoman.jpg;
B&S Wegenbouw-Elro Snacks;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/BS-Elro82.jpg;
Capri Sonne-Eddy Merckx-Campagnolo;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Capri-Sonne82.jpg;
Selle Italia-Chinol;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Chinol82.jpg;
Daf Trucks-Teve Blad-Rossin;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/DAF82(a).jpg;http://www.zonadeavituallamiento.es/images/DAF82(b).jpg
Europ Decor;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Europ-Decor82.jpg;
Puch-Eorotex-Campagnolo;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Puch-Eorotex82(a).jpg;http://www.zonadeavituallamiento.es/images/Puch-Eorotex82(b).jpg
Ti-Raleigh-Campagnolo;1982;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Raleigh-Campagnolo.jpg;
Hueso chocolates;1982;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1982-chocolates-hueso.jpg;
Tour de France;1982;Race;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1982-coop-tour-de-france.jpg;
Brouwer;1983;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Brouwermachines.jpg;
Teka;1983;Profesional;;;Campagnolo top;-;;http://www.avesdeburgos.com/ciclismo/images/Teka79.jpg;
La Redoute-Motobecane;1983;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Redoute-Motobecane.jpg;
Royal;1983;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Royal.jpg;
Splendor-Mondial-Marc;1984;Profesional ;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Splendor84.jpg;
Tönissteiner-Lotto-Mavic-Pecotex;1984;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Tonissteiner.jpg;
Dromedario-Alan-OECE-Sidermec;1984;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Dromedario84.jpg;
Europ Decor-Boule d'Or-Eddy Merckx;1984;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Europ-Decor84.jpg;
Euro Soap-Crack-De Bilde-Libertas;1984;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/EuroSoap-Crack.jpg;
Peugeot-Shell-Michelin;1984;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Peugeot-Shell(a).jpg;http://www.zonadeavituallamiento.es/images/Peugeot-Shell(b).jpg
La Redoute;1984;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Redoute.jpg;
Reynolds;1984;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Reynolds(2).jpg;
La Vie Claire-Terraillon;1984;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Vie-Claire.jpg;
Caja Madrid;1984;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1984-caja-madrid.jpg;
Panasonic-Raleigh;1984;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1984-isostar-panasonic-raleigh.jpg;https://lakarra.net/wp-content/uploads/2019/12/musette-1984-isostar-panasonic-raleigh-wander-sport.jpg
Orbea;1984;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1984-orbea-danena.jpg;
Seven Eleven/Seven Eleven-Hoonved (en Europa);1985;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/7Eleven85.jpg;
La Redoute-Cycles MBK;1985;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/La-Redoute.jpg;
Lotto-Eddy Merckx-Campagnolo-Vermarc Sport;1985;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Lotto.jpg;
AVP-Viditel;1985;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/AVP-Viditel.jpg;
Del Tongo-Colnago-Samet-Candy;1985;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Del-Tongo85.jpg;
Hitachi-Splendor-Sunair-Marc;1985;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Hitachi85.jpg;
Nikon-Van Schilt-Elro-Colnago;1985;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Peak.jpg;
Renault-Elf;1985;Profesional;;;Press button;-;;http://www.zonadeavituallamiento.es/images/Renault(2).jpg;
Reynolds;1985;Profesional;;;Smaller Reynolds;-;;http://www.zonadeavituallamiento.es/images/Reynolds.jpg;
Skala-Gazelle;1985;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Skala85.jpg;
Skil-Sem-Kas-Miko;1985;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Skil85.jpg;
La Vie Claire-Wonder-Radar-Look;1985;Profesional;;;Wonder middle;-;;http://www.zonadeavituallamiento.es/images/Vie-Claire85.jpg;
Caja Madria Otero;1985;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1985-caja-madrid-otero.jpg;
Frinca;1985;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1985-frinca.jpg;
Murella-Fanini-Alan;1986;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Murella-Fanini.jpg;
Café de Colombia-Varta-Mavic;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Cafe-Colombia86.jpg;
CR Colchón;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/CR86.jpg;
Ecoflam-Jolly-BFB;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ecoflan86.jpg;
Kas;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Kas86.jpg;
Kas;1986;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Kas-Mavic.jpg;
Kas;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Kas-Mavic86.jpg;
Fangio-Caroche;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Lois-Caroche.jpg;
Fangio-Lois-Mavic;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Lois-Fangio.jpg;
Malvor-Bottecchia-Vaporella;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Malvor86(a).jpg;http://www.zonadeavituallamiento.es/images/Malvor86(b).jpg
Peugeot-Shell;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Peugeot-Shell(2).jpg;
Reynolds;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Reynolds86.jpg;
Skala-Skil-Gazelle-Fiat-Melka;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Skala-Skil86.jpg;
Transvemij-Van Schilt-Elro;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Transvemij86.jpg;
Zor-BH;1986;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Zor-BH86.jpg;
Ceramiche Ariostea;1986;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1986-ariostea-ceramiche.jpg;
Atal Ofmega;1986;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1986-atala-ofmega.jpg;
Coors Classic;1986;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1986-coors-classic.jpg;
Manzana Postobón;1986;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1986-manzana-postobon.jpg;
Zor-Encedor;1986;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1986-zor-encedor.jpg;
Tour de France;1986;Race;;;;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1986-spar-tour-france.jpeg;
Dormilón-Campagnolo;1987;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Dormilon.jpg;
Dormilón-Campagnolo;1987;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/DormilonAzul(a).jpg;http://www.avesdeburgos.com/ciclismo/images/DormilonAzul(b).jpg
Kas;1987;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Kas.jpg;
Reynolds-Seur-Sada;1987;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Reynolds-Seur87.jpg;
Système U;1987;Profesional;;;x;x;;http://www.avesdeburgos.com/ciclismo/images/SystemeU87.jpg;
Transvemij-Van Schilt-Floorgres;1987;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Transvemij(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Transvemij(b).jpg
Seven Eleven/Seven Eleven-Hoonved (en Europa);1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/7Eleven87.jpg;
Ariostea-Gres;1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ariostea87.jpg;
BH;1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/BH(2).jpg;
Gis Gelati-Jollyscarpe;1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Gis-Jolly87(a).jpg;http://www.zonadeavituallamiento.es/images/Gis-Jolly87(b).jpg
Hitachi-Marc-Rossin;1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Hitachi87(a).jpg;http://www.zonadeavituallamiento.es/images/Hitachi87(b).jpg
S.E.F.B.-Gipiemme;1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/SEFB.jpg;
Sigma Coatings-Cicli Diamant;1987;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Sigma.jpg;
Toshiba-Look-La Vie Claire;1987;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Toshiba-Vie-Claire87.jpg;
Coors Classic;1987;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1987-coors-classic.jpg;
Pepsi Cola Fanini;1987;;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1987-pepsi-cola-fanini.jpg;
Sporting Aqualis Montico;1987;;;;;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1987-sporting-aqualis-montico-cadaval.jpeg;
Tour de France;1987;Race;;;;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1987-tour-france-ravitaillement.jpeg;
BH;1988;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/BH(a).jpg;http://www.avesdeburgos.com/ciclismo/images/BH(b).jpg
Muller-Rothmayr;1988;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Muller88.jpg;
PDM-Ultima-Concorde;1988;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/PDM90.jpg;
R.M.O.;1988;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/RMO.jpg;
Selca-Ciclolinea-Conti;1988;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Selca.jpg;
Weinmann-La Suisse-SMM;1988;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Weinmann88.jpg;
Zahor-Macario-Campagnolo;1988;Profesional;;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Zahor88.jpg;
ADR-Anti-M;1988;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/ADR88.jpg;
Café de Colombia;1988;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Cafe-Colombia88.jpg;
Isoglass-EVS-Robland-Galli;1988;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/EVS-Isoglass88.jpg;
Intral Renting-Nec-Ricoh-Merckx;1988;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Intral-Renting88.jpg;
Kas-Canal 10;1988;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Kas-Canal10.jpg;
Sigma Paints-Fina-Cicli Diamant;1988;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Sigma-Fina88(a).jpg;http://www.zonadeavituallamiento.es/images/Sigma-Fina88(b).jpg
40 Criterium cycliste;1988;Race;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1988-40-criteium-cycliste-le-dauphine-system-u.jpg;
CLAS;1988;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1988-clas.jpg;
Espana;1988;Nation;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1988-espan%CC%83a-bicicletas-otero.jpg;
Mosoca Galli;1988;;;;;-;;https://lakarra.net/wp-content/uploads/2020/07/musette-1988-isoglass-mosoca-galli.jpeg;
Tour de France;1988;Race;;;;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1988-velo-tour-france.jpeg;
Chateau D'Ax-Salotti;1988;;;;x;-;;https://lakarra.net/wp-content/uploads/2022/01/musette-1988-chateau-dax-salotti.jpeg;
EVS ROBLAND GALLI;1988;;;;x;-;;https://lakarra.net/wp-content/uploads/2022/01/musette-1988-isoglass-evs-robland-galli.jpeg;
CLAS-Razesa;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/CLAS(a).jpg;http://www.avesdeburgos.com/ciclismo/images/CLAS(b).jpg
Helvetia-La Suisse;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Helvetia-LaSuisse.jpg;
Histor-Sigma-Fina-Diamant;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Histor-Sigma.jpg;
Hitachi-Merckx-Mavic;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Hitachi89.jpg;
SuperConfex-Yoko-Opel-Colnago;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Isostar(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Isostar(b).jpg
Lotus-Zahor;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Lotus-Zahor89.jpg;
Puertas Mavisa-Galli;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Mavisa-Galli89.jpg;
Paternina;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Paternina89(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Paternina89(b).jpg
Seur;1989;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Seur-Isostar(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Seur-Isostar(b).jpg
Teka;1989;Profesional;;;Mavic bottom right;x;;http://www.avesdeburgos.com/ciclismo/images/Teka.jpg;
ADR-Coors Light-Bottechia-W-Cup Coffee;1989;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/ADR89.jpg;
Chateau D'Ax-Salotti;1989;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Chateau-Dax88(a).jpg;http://www.zonadeavituallamiento.es/images/Chateau-Dax88(b).jpg
Domex-Weinmann;1989;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Domex89.jpg;
Kelme;1989;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Kelme89.jpg;
Lotto;1989;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/Lotto89.jpg;
Mini-Flat-Isoglass;1989;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Mini-Flat89.jpg;
Recer-Boavista;1989;;;;x;-;;http://www.zonadeavituallamiento.es/images/Recer-Boavista.jpg;
Super U-Raleigh-Fiat;1989;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/SuperU89.jpg;
Titanbonifica-Benotto-Sidermec;1989;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Titanbonifica89.jpg;
Alfa Lum;1989;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1989-alfa-lum.jpg;
Chateau D'Ax-Salotti;1989;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1989-chateau-dax-enervit-salotti.jpg;
MALVOR SIDI COLNAGO;1989;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1989-malvor-sidi-colnago.jpg;
Verynet;1989;;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1989-verynet.jpg;
Puertas Mavisa;1990;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/MavisaBlanca.jpg;
Teka;1990;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Teka90.jpg;
Toshiba-SMS;1990;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Toshiba.jpg;
CLAS-Cajastur;1990;Profesional;;;plastic;x;;http://www.zonadeavituallamiento.es/images/Clas-Cajastur(2).jpg;
Diana-Colnago-Animex;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Diana90.jpg;
Frank-Toyo;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Frank-Toyo.jpg;
Isoglass-Garden Wood;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Isoglass90.jpg;
Buckler-Colnago-Decca;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Isostar(9).jpg;
La William-Saltos-Fondua-Euroclean;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/LaWilliam-Saltos-Fondua.jpg;
Lotto-Super Club-MBK;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Lotto-SuperClub90.jpg;
Panasonic-Sportlife;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Panasonic-Sportlife.jpg;
Artiach-Royal;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Royal90.jpg;
Seur;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Seur.jpg;
Tulip Computers;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Tulip90.jpg;
Weinmann-SMM Uster;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Weinmann-SMM90.jpg;
Westwood;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Westwood(2).jpg;
Westwood;1990;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Westwood.jpg;
Trofeo 3 naciones;1990;;;;;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1990-cam-azul-trofeo-3-naciones.jpg;
Italbonifica - Navigare;1990;;;;Grafoplast bottom;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1990-italbonifica-navigare.jpg;
Kelme;1990;Profesional;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1990-kelme.jpg;
Tulip Computers;1990;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1990-tulip-computers.jpg;
SICASAL ACRAL;1990;;;;x;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1990-sicasal-acral-campocarne.jpeg;
Tour du Luxembourg;1990;Race;;;;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1990-tour-luxebourg-coca-cola.jpeg;
Castorama - Raleigh;1991;Profesional;;;x;x;;casto_91;
CLAS-Cajastur;1991;Profesional;;;cotton;-;;http://www.avesdeburgos.com/ciclismo/images/Clas-Cajastur.jpg;
Lotto-Super Club-MBK;1991;Profesional;;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Lotto-SuperClub.jpg;
Motorola;1991;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Motorola(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Motorola(b).jpg
Seur-Otero;1991;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Seur-Otero(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Seur-Otero(b).jpg
Telekom;1991;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Telekom1.jpg;
Tonton Tapis-GB-Corona;1991;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Tonton-Tapis91.jpg;
Amaya Seguros;1991;Profesional;;;Blue A;-;;http://www.zonadeavituallamiento.es/images/Amaya(1).jpg;
Artiach-Royal;1991;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Artiach-Royal91.jpg;
Collstrop-Isoglass;1991;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Collstrop91.jpg;
Gatorade-Chateau d'Ax;1991;Profesional;;;Nalini top left;-;;http://www.zonadeavituallamiento.es/images/Gatorade91.jpg;
La William-Saltos-Duvel;1991;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/LaWilliam.jpg;
ONCE;1991;Profesional;;;Light yellow;-;;http://www.zonadeavituallamiento.es/images/ONCE(2).jpg;
Ryalcao-Postobón-Manzana;1991;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Ryalcao-Postobon.jpg;
Toshiba;1991;Profesional;;;Square format;x;;http://www.zonadeavituallamiento.es/images/Toshiba91.jpg;
Tulip Computers-Koga Miyata;1991;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Tulip91.jpg;
Wigarma-JM Catering;1991;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Wigarma.jpg;
COLLSTROP NICO LAPAGE;1991;;;;Nico Lapage bottom;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1991-collstrop-nico-lapage.jpg;
Motorola;1991;Profesional;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1991-motorola-giordana.jpg;
Tulip Computers;1991;;;;x;-;;https://lakarra.net/wp-content/uploads/2019/12/musette-1991-tulip-computers.jpg;
SICASAL ACRAL;1991;;;;x;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1991-sicasal-acral.jpeg;
Tour du Luxembourg;1991;Race;;;;-;;https://lakarra.net/wp-content/uploads/2020/12/musette-1991-tour-luxebourg-coca-cola.jpeg;
Helvetia;1992;Profesional;;;x;-;;http://www.avesdeburgos.com/ciclismo/images/Helvetia.jpg;
Ariostea;1992;Profesional;;;square format;-;;http://www.zonadeavituallamiento.es/images/Ariostea92.jpg;
Artiach-Royal-Fruco;1992;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Artiach92.jpg;
Carrera-Tassoni;1992;Profesional;;;Tassoni top left;-;;http://www.zonadeavituallamiento.es/images/Carrera93.jpg;
Chevrolet-L.A. Sheriff;1992;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Chevrolet2(a).jpg;http://www.zonadeavituallamiento.es/images/Chevrolet2(b).jpg
Gatorade-Chateau d'Ax;1992;Profesional;;;2 nalini on top;-;;http://www.zonadeavituallamiento.es/images/Gatorade92.jpg;
GB-MG Maglificio-Bianchi;1992;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/GB-MG93.jpg;
Kelme;1992;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Kelme92(a).jpg;http://www.zonadeavituallamiento.es/images/Kelme92(b).jpg
Puertas Mavisa;1992;Profesional;;;cyko on top;-;;http://www.zonadeavituallamiento.es/images/Mavisa92.jpg;
ONCE;1992;Profesional;;;Dark Yello;x;;http://www.zonadeavituallamiento.es/images/ONCE(3).jpg;
R.M.O.;1992;Profesional;;;x;x;;http://www.zonadeavituallamiento.es/images/RMO(2).jpg;
Thermote & Van Halst;1992;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Thermote.jpg;
Tulip Computers-Koga Miyata;1992;Profesional;;;x;-;;http://www.zonadeavituallamiento.es/images/Tulip.jpg;
Tulip Computers-Koga Miyata;1992;Profesional;;;Bigger logo;-;;http://www.zonadeavituallamiento.es/images/Tulip2.jpg;
